"minPts","eps","Precision", "Recall","F1"
4,0.65,1,0.0721649484536082,0.134615384615385
4,0.66,1,0.0721649484536082,0.134615384615385
4,0.67,1,0.0721649484536082,0.134615384615385
4,0.68,1,0.0721649484536082,0.134615384615385
4,0.69,1,0.0618556701030928,0.116504854368932
4,0.7,1,0.0515463917525773,0.0980392156862745
4,0.71,1,0.0412371134020619,0.0792079207920792
4,0.72,1,0.0309278350515464,0.06
4,0.73,1,0.0309278350515464,0.06
4,0.74,1,0.0206185567010309,0.0404040404040404
4,0.75,1,0.0206185567010309,0.0404040404040404
4,0.76,1,0.0206185567010309,0.0404040404040404
5,0.1,0.0097,1,0.0192136278102407
5,0.11,0.0097,1,0.0192136278102407
5,0.12,0.0097,1,0.0192136278102407
5,0.13,0.0097,1,0.0192136278102407
5,0.14,0.0097,1,0.0192136278102407
5,0.15,0.0097,1,0.0192136278102407
5,0.16,0.0097,1,0.0192136278102407
5,0.17,0.0097,1,0.0192136278102407
5,0.18,0.0097,1,0.0192136278102407
5,0.19,0.0097,1,0.0192136278102407
5,0.2,0.0097,1,0.0192136278102407
5,0.21,0.0097,1,0.0192136278102407
5,0.22,0.0097,1,0.0192136278102407
5,0.23,0.0097,1,0.0192136278102407
5,0.24,0.0097,1,0.0192136278102407
5,0.25,0.0097,1,0.0192136278102407
5,0.26,0.0097,1,0.0192136278102407
5,0.27,0.00971457185778668,1,0.019242213846459
5,0.28,0.009779211614074,1,0.0193690095846645
5,0.29,0.00987377850162866,1,0.0195544803951215
5,0.3,0.010125260960334,1,0.0200475353932004
5,0.31,0.010620643876535,0.989690721649485,0.021015761821366
5,0.32,0.0115593016255268,0.989690721649485,0.0228517019757201
5,0.33,0.0132761720370626,0.989690721649485,0.0262008733624454
5,0.34,0.016,0.969072164948454,0.0314802411252512
5,0.35,0.0202222222222222,0.938144329896907,0.0395910376332391
5,0.36,0.0268129189518586,0.907216494845361,0.0520864160994377
5,0.37,0.0389845874886673,0.88659793814433,0.0746851932262267
5,0.38,0.0600428877769836,0.865979381443299,0.112299465240642
5,0.39,0.0882352941176471,0.804123711340206,0.159021406727829
5,0.4,0.128113879003559,0.742268041237113,0.218512898330804
5,0.41,0.195906432748538,0.690721649484536,0.305239179954442
5,0.42,0.298165137614679,0.670103092783505,0.412698412698413
5,0.43,0.413793103448276,0.618556701030928,0.495867768595041
5,0.44,0.508928571428571,0.587628865979381,0.545454545454546
5,0.45,0.630952380952381,0.54639175257732,0.585635359116022
5,0.46,0.793650793650794,0.515463917525773,0.625
5,0.47,0.892857142857143,0.515463917525773,0.65359477124183
5,0.48,0.925925925925926,0.515463917525773,0.662251655629139
5,0.49,0.979591836734694,0.494845360824742,0.657534246575343
